"PART_ID","STRT_NUM","STRT_DSC","COMP_STRT","POST_CD","CITY_NAME","CNTR_NAME","STRT_VALD_DTTM","END_VALD_DTTM","EXEC_ID"
1672,"76","NomVoie2523846",,"#9954","Ville17","Pays1","2001-06-17 20:33:51.0","2001-06-17 20:33:51.0",12
4690,"0","NomVoie9327772",,"#4787","Ville9","Pays1","2006-01-02 18:34:41.0","2006-01-02 18:34:41.0",12
2610,"62","NomVoie9715899",,"#8706","Ville24","Pays1","2019-04-15 08:52:37.0","2019-04-15 08:52:37.0",12
14213,"42","NomVoie8639704",,"#0239","Ville19","Pays1","2001-09-17 01:36:43.0","2001-09-17 01:36:43.0",12
11664,"74","NomVoie9648731",,"#3803","Ville13","Pays3","2018-06-07 15:06:07.0","2018-06-07 15:06:07.0",12
12133,"16","NomVoie8318251",,"#3714","Ville9","Pays3","2009-09-07 07:19:28.0","2009-09-07 07:19:28.0",12
9584,"21","NomVoie6745571",,"#7873","Ville3","Pays3","2000-11-08 08:19:42.0","2000-11-08 08:19:42.0",12
12602,"93","NomVoie8443505",,"#2597","Ville21","Pays3","2011-11-23 14:26:09.0","2011-11-23 14:26:09.0",12
7035,"28","NomVoie2018482",,"#3581","Ville1","Pays3","2001-09-11 13:19:39.0","2001-09-11 13:19:39.0",12
10053,"77","NomVoie384974",,"#7052","Ville2","Pays1","2008-03-11 03:32:01.0","2008-03-11 03:32:01.0",12
13071,"99","NomVoie906824",,"#2188","Ville4","Pays3","2015-06-12 14:54:46.0","2015-06-12 14:54:46.0",12
7504,"87","NomVoie2841821",,"#7143","Ville18","Pays2","2005-05-03 04:42:26.0","2005-05-03 04:42:26.0",12
10522,"7","NomVoie3117380",,"#3827","Ville20","Pays3","2017-10-10 22:40:33.0","2017-10-10 22:40:33.0",12
4955,"69","NomVoie3334394",,"#6858","Ville3","Pays3","1997-11-20 20:54:14.0","1997-11-20 20:54:14.0",12
7973,"74","NomVoie915001",,"#5785","Ville15","Pays1","2014-07-13 17:31:57.0","2014-07-13 17:31:57.0",12
2406,"66","NomVoie398413",,"#8440","Ville23","Pays1","2018-08-04 21:57:07.0","2018-08-04 21:57:07.0",12
5424,"96","NomVoie8046532",,"#3559","Ville10","Pays1","2023-05-06 07:16:12.0","2023-05-06 07:16:12.0",12
8442,"64","NomVoie2216366",,"#0190","Ville3","Pays3","2013-06-09 12:55:01.0","2013-06-09 12:55:01.0",12
2875,"41","NomVoie624998",,"#2438","Ville9","Pays2","2008-02-08 01:35:47.0","2008-02-08 01:35:47.0",12
5893,"58","NomVoie3713023",,"#0531","Ville8","Pays1","2016-07-27 23:37:07.0","2016-07-27 23:37:07.0",12
326,"26","NomVoie7810588",,"#0753","Ville9","Pays1","1997-03-10 22:40:51.0","1997-03-10 22:40:51.0",12
3344,"63","NomVoie3043297",,"#2662","Ville15","Pays1","2019-01-14 17:13:46.0","2019-01-14 17:13:46.0",12
795,"13","NomVoie8331727",,"#4847","Ville3","Pays2","2004-01-11 03:44:58.0","2004-01-11 03:44:58.0",12
3813,"84","NomVoie175039",,"#5400","Ville11","Pays2","2007-07-07 09:39:02.0","2007-07-07 09:39:02.0",12
12867,"7","NomVoie11380",,"#6417","Ville8","Pays2","1997-09-25 09:27:10.0","1997-09-25 09:27:10.0",12
10318,"5","NomVoie3511990",,"#5272","Ville15","Pays3","2015-01-25 15:22:58.0","2015-01-25 15:22:58.0",12
13336,"27","NomVoie1214456",,"#6825","Ville25","Pays1","2001-02-27 10:57:04.0","2001-02-27 10:57:04.0",12
10787,"8","NomVoie7924829",,"#2514","Ville10","Pays1","2019-10-18 12:25:10.0","2019-10-18 12:25:10.0",12
13805,"11","NomVoie2828004",,"#1861","Ville23","Pays2","2007-10-26 08:42:48.0","2007-10-26 08:42:48.0",12
8238,"40","NomVoie4611024",,"#9936","Ville8","Pays2","2010-10-03 02:49:45.0","2010-10-03 02:49:45.0",12
11256,"73","NomVoie2737887",,"#8634","Ville6","Pays1","2009-02-23 06:57:41.0","2009-02-23 06:57:41.0",12
5689,"59","NomVoie761234",,"#3884","Ville15","Pays1","2014-08-04 15:30:20.0","2014-08-04 15:30:20.0",12
14274,"43","NomVoie4841611",,"#7134","Ville18","Pays2","2010-05-21 12:03:23.0","2010-05-21 12:03:23.0",12
8707,"80","NomVoie6022850",,"#3867","Ville23","Pays1","2022-03-26 21:05:58.0","2022-03-26 21:05:58.0",12
11725,"73","NomVoie4749979",,"#3803","Ville10","Pays1","2010-06-26 21:45:08.0","2010-06-26 21:45:08.0",12
6158,"59","NomVoie2126535",,"#2955","Ville15","Pays3","2022-03-20 09:27:01.0","2022-03-20 09:27:01.0",12
9176,"24","NomVoie3734753",,"#2515","Ville22","Pays3","2007-04-15 03:58:45.0","2007-04-15 03:58:45.0",12
3609,"47","NomVoie66185",,"#1020","Ville4","Pays3","1999-07-27 07:03:19.0","1999-07-27 07:03:19.0",12
1060,"15","NomVoie4143907",,"#3455","Ville4","Pays2","2006-03-09 23:09:42.0","2006-03-09 23:09:42.0",12
9645,"43","NomVoie3647221",,"#6881","Ville20","Pays1","2004-02-15 13:56:12.0","2004-02-15 13:56:12.0",12
4078,"38","NomVoie8312086",,"#9285","Ville12","Pays4","1997-07-21 01:12:13.0","1997-07-21 01:12:13.0",12
7096,"94","NomVoie1620587",,"#6443","Ville7","Pays3","2009-03-10 11:21:30.0","2009-03-10 11:21:30.0",12
1529,"10","NomVoie314523",,"#8675","Ville11","Pays3","2004-04-09 13:44:03.0","2004-04-09 13:44:03.0",12
4547,"68","NomVoie3924313",,"#5292","Ville19","Pays2","1999-11-07 19:21:07.0","1999-11-07 19:21:07.0",12
1998,"12","NomVoie2842961",,"#6873","Ville22","Pays2","2003-11-26 03:22:27.0","2003-11-26 03:22:27.0",12
2467,"77","NomVoie1710180",,"#4509","Ville8","Pays1","2019-07-03 16:57:25.0","2019-07-03 16:57:25.0",12
14070,"25","NomVoie9035487",,"#6221","Ville3","Pays3","2007-02-14 13:29:18.0","2007-02-14 13:29:18.0",12
11521,"3","NomVoie4244671",,"#2067","Ville13","Pays1","1997-07-14 07:07:39.0","1997-07-14 07:07:39.0",12
14539,"11","NomVoie7448576",,"#2846","Ville2","Pays3","2012-05-24 11:24:32.0","2012-05-24 11:24:32.0",12
11990,"86","NomVoie529525",,"#7085","Ville8","Pays3","1998-05-15 18:36:55.0","1998-05-15 18:36:55.0",12
9441,"52","NomVoie1041987",,"#5433","Ville5","Pays3","2005-01-16 12:16:22.0","2005-01-16 12:16:22.0",12
12459,"54","NomVoie936131",,"#7062","Ville6","Pays2","1998-06-23 08:48:41.0","1998-06-23 08:48:41.0",12
6892,"54","NomVoie1610805",,"#5722","Ville18","Pays3","2009-06-07 05:33:49.0","2009-06-07 05:33:49.0",12
9910,"25","NomVoie521744",,"#1498","Ville18","Pays3","2023-11-24 05:39:03.0","2023-11-24 05:39:03.0",12
4343,"20","NomVoie1719054",,"#0416","Ville8","Pays4","2022-10-10 17:26:48.0","2022-10-10 17:26:48.0",12
12928,"14","NomVoie402994",,"#8247","Ville14","Pays1","2000-07-14 11:17:27.0","2000-07-14 11:17:27.0",12
7361,"65","NomVoie1334481",,"#5233","Ville14","Pays2","2008-07-07 10:38:58.0","2008-07-07 10:38:58.0",12
10379,"88","NomVoie7213665",,"#9580","Ville25","Pays1","2022-02-24 15:47:11.0","2022-02-24 15:47:11.0",12
4812,"54","NomVoie5830892",,"#5208","Ville11","Pays3","2005-08-01 18:26:08.0","2005-08-01 18:26:08.0",12
7830,"70","NomVoie351290",,"#8558","Ville5","Pays2","2001-02-05 09:36:22.0","2001-02-05 09:36:22.0",12
2263,"78","NomVoie892001",,"#8695","Ville2","Pays3","2006-07-25 14:34:51.0","2006-07-25 14:34:51.0",12
5281,"99","NomVoie7242965",,"#4187","Ville3","Pays2","2011-01-08 01:34:31.0","2011-01-08 01:34:31.0",12
8299,"71","NomVoie6312578",,"#4663","Ville19","Pays3","2018-06-07 07:58:06.0","2018-06-07 07:58:06.0",12
2732,"83","NomVoie6020338",,"#7657","Ville11","Pays2","2020-04-26 20:52:09.0","2020-04-26 20:52:09.0",12
5750,"11","NomVoie404943",,"#5341","Ville6","Pays3","2020-04-16 08:28:04.0","2020-04-16 08:28:04.0",12
183,"43","NomVoie663607",,"#4988","Ville22","Pays2","2003-10-02 21:58:42.0","2003-10-02 21:58:42.0",12
3201,"11","NomVoie3537741",,"#8243","Ville21","Pays1","2009-03-22 12:07:51.0","2009-03-22 12:07:51.0",12
652,"58","NomVoie1725043",,"#5179","Ville21","Pays3","1999-02-11 22:25:53.0","1999-02-11 22:25:53.0",12
1121,"16","NomVoie6946537",,"#2645","Ville14","Pays1","2018-05-10 11:54:58.0","2018-05-10 11:54:58.0",12
10175,"45","NomVoie468314",,"#1423","Ville3","Pays2","2017-10-12 12:21:02.0","2017-10-12 12:21:02.0",12
13193,"62","NomVoie5410432",,"#2877","Ville12","Pays1","2020-05-27 14:13:22.0","2020-05-27 14:13:22.0",12
10644,"67","NomVoie8920701",,"#3615","Ville16","Pays2","2022-05-01 16:38:10.0","2022-05-01 16:38:10.0",12
13662,"56","NomVoie9324172",,"#4923","Ville2","Pays1","2004-03-18 08:01:53.0","2004-03-18 08:01:53.0",12
8095,"71","NomVoie377769",,"#4127","Ville11","Pays2","2000-10-07 20:45:52.0","2000-10-07 20:45:52.0",12
11113,"36","NomVoie1334019",,"#0234","Ville20","Pays1","2019-10-11 17:23:56.0","2019-10-11 17:23:56.0",12
5546,"7","NomVoie8849620",,"#4614","Ville7","Pays2","2010-11-21 01:18:53.0","2010-11-21 01:18:53.0",12
14131,"4","NomVoie9437232",,"#9027","Ville15","Pays1","2016-11-09 09:44:22.0","2016-11-09 09:44:22.0",12
8564,"74","NomVoie7619286",,"#2356","Ville17","Pays1","1998-07-15 17:36:21.0","1998-07-15 17:36:21.0",12
2997,"47","NomVoie229500",,"#9804","Ville12","Pays1","2021-07-23 18:57:58.0","2021-07-23 18:57:58.0",12
11582,"22","NomVoie8746558",,"#0957","Ville23","Pays1","2003-03-20 21:35:13.0","2003-03-20 21:35:13.0",12
6015,"79","NomVoie6719434",,"#4616","Ville4","Pays4","1997-05-08 22:51:30.0","1997-05-08 22:51:30.0",12
9033,"41","NomVoie7231119",,"#7338","Ville20","Pays2","2023-05-03 11:40:44.0","2023-05-03 11:40:44.0",12
3466,"56","NomVoie9848414",,"#3607","Ville19","Pays4","1998-03-09 17:25:46.0","1998-03-09 17:25:46.0",12
6484,"50","NomVoie2545797",,"#1525","Ville14","Pays1","2015-04-19 21:16:44.0","2015-04-19 21:16:44.0",12
917,"68","NomVoie4837683",,"#3280","Ville10","Pays1","2009-02-22 09:47:31.0","2009-02-22 09:47:31.0",12
3935,"44","NomVoie208415",,"#4696","Ville23","Pays3","1997-09-21 11:48:42.0","1997-09-21 11:48:42.0",12
6953,"5","NomVoie7813336",,"#1583","Ville8","Pays2","2009-03-21 08:54:52.0","2009-03-21 08:54:52.0",12
1386,"69","NomVoie804830",,"#0654","Ville3","Pays1","2002-07-16 18:44:05.0","2002-07-16 18:44:05.0",12
4404,"19","NomVoie6020548",,"#9463","Ville3","Pays2","2019-08-21 11:12:57.0","2019-08-21 11:12:57.0",12
1855,"21","NomVoie8334864",,"#7205","Ville13","Pays3","2022-08-06 13:31:12.0","2022-08-06 13:31:12.0",12
13927,"62","NomVoie7031200",,"#4270","Ville11","Pays2","2000-04-23 22:44:18.0","2000-04-23 22:44:18.0",12
11378,"18","NomVoie1040920",,"#1558","Ville19","Pays2","2015-05-05 23:15:44.0","2015-05-05 23:15:44.0",12
14396,"85","NomVoie5945012",,"#3220","Ville2","Pays2","2007-11-15 08:15:09.0","2007-11-15 08:15:09.0",12
8829,"15","NomVoie5125755",,"#8995","Ville8","Pays2","2007-03-13 19:18:17.0","2007-03-13 19:18:17.0",12
11847,"10","NomVoie241164",,"#4966","Ville1","Pays1","2007-01-11 14:05:15.0","2007-01-11 14:05:15.0",12
9298,"91","NomVoie6438077",,"#6540","Ville5","Pays2","1997-08-13 09:33:32.0","1997-08-13 09:33:32.0",12
12316,"8","NomVoie1728029",,"#3685","Ville25","Pays2","2005-02-18 18:18:17.0","2005-02-18 18:18:17.0",12
6749,"89","NomVoie73842",,"#5658","Ville13","Pays3","2016-04-16 01:44:54.0","2016-04-16 01:44:54.0",12
4200,"11","NomVoie9715024",,"#6291","Ville14","Pays1","2014-09-14 23:19:27.0","2014-09-14 23:19:27.0",12
7218,"69","NomVoie5826371",,"#0152","Ville8","Pays2","2008-01-06 18:15:07.0","2008-01-06 18:15:07.0",12
1651,"44","NomVoie3321955",,"#6208","Ville14","Pays1","1997-10-06 09:18:46.0","1997-10-06 09:18:46.0",12
10236,"20","NomVoie589909",,"#4984","Ville16","Pays1","2021-04-12 19:31:08.0","2021-04-12 19:31:08.0",12
4669,"8","NomVoie8227299",,"#9687","Ville7","Pays2","2005-03-10 02:08:30.0","2005-03-10 02:08:30.0",12
5138,"8","NomVoie1139501",,"#1545","Ville4","Pays1","1999-03-09 09:34:20.0","1999-03-09 09:34:20.0",12
2589,"91","NomVoie9114611",,"#3710","Ville12","Pays3","2003-11-09 18:58:26.0","2003-11-09 18:58:26.0",12
3058,"10","NomVoie9431635",,"#5404","Ville8","Pays3","2013-02-01 13:46:33.0","2013-02-01 13:46:33.0",12
509,"71","NomVoie1318546",,"#7505","Ville5","Pays2","2005-03-12 10:42:41.0","2005-03-12 10:42:41.0",12
12581,"69","NomVoie6042529",,"#4600","Ville10","Pays1","2003-08-10 15:09:21.0","2003-08-10 15:09:21.0",12
10032,"39","NomVoie234498",,"#1953","Ville5","Pays3","1998-05-08 21:09:24.0","1998-05-08 21:09:24.0",12
13050,"5","NomVoie506251",,"#9865","Ville14","Pays2","1999-02-27 14:38:42.0","1999-02-27 14:38:42.0",12
7483,"98","NomVoie4340866",,"#4581","Ville13","Pays2","1997-03-12 04:24:56.0","1997-03-12 04:24:56.0",12
10501,"68","NomVoie616735",,"#6952","Ville25","Pays1","2018-10-17 16:46:49.0","2018-10-17 16:46:49.0",12
13519,"86","NomVoie3020222",,"#9073","Ville17","Pays1","2013-05-13 17:55:38.0","2013-05-13 17:55:38.0",12
7952,"14","NomVoie744471",,"#5793","Ville2","Pays2","2019-10-06 06:03:31.0","2019-10-06 06:03:31.0",12
10970,"40","NomVoie1530032",,"#0825","Ville14","Pays1","2023-01-16 19:48:50.0","2023-01-16 19:48:50.0",12
5403,"88","NomVoie445980",,"#6552","Ville5","Pays1","2016-07-26 16:36:08.0","2016-07-26 16:36:08.0",12
8421,"29","NomVoie1415763",,"#4958","Ville14","Pays1","2007-01-13 17:43:09.0","2007-01-13 17:43:09.0",12
2854,"84","NomVoie324335",,"#5924","Ville12","Pays2","2007-08-02 02:06:11.0","2007-08-02 02:06:11.0",12
11439,"72","NomVoie042684",,"#1161","Ville19","Pays1","2022-09-20 03:04:51.0","2022-09-20 03:04:51.0",12
5872,"77","NomVoie1911684",,"#3725","Ville2","Pays2","2009-11-10 19:28:23.0","2009-11-10 19:28:23.0",12
8890,"22","NomVoie6127337",,"#0850","Ville11","Pays1","2013-10-10 19:08:31.0","2013-10-10 19:08:31.0",12
3323,"34","NomVoie9042359",,"#7597","Ville9","Pays1","2012-03-26 15:23:44.0","2012-03-26 15:23:44.0",12
6341,"72","NomVoie7038523",,"#7903","Ville19","Pays2","1997-10-10 17:35:58.0","1997-10-10 17:35:58.0",12
774,"52","NomVoie1630688",,"#6145","Ville22","Pays2","2022-07-04 17:17:02.0","2022-07-04 17:17:02.0",12
3792,"20","NomVoie724549",,"#1972","Ville22","Pays1","2021-03-14 12:54:17.0","2021-03-14 12:54:17.0",12
4261,"15","NomVoie8116855",,"#3599","Ville14","Pays2","2013-10-17 17:37:33.0","2013-10-17 17:37:33.0",12
1712,"17","NomVoie9826382",,"#3029","Ville3","Pays3","2014-01-09 09:27:15.0","2014-01-09 09:27:15.0",12
13315,"42","NomVoie313817",,"#2028","Ville24","Pays3","1999-05-02 09:43:14.0","1999-05-02 09:43:14.0",12
13784,"84","NomVoie5127572",,"#3993","Ville12","Pays1","2020-05-09 23:06:19.0","2020-05-09 23:06:19.0",12
11235,"35","NomVoie3837486",,"#3776","Ville16","Pays2","2009-05-20 10:26:28.0","2009-05-20 10:26:28.0",12
14253,"47","NomVoie9440719",,"#7874","Ville6","Pays1","2016-05-18 20:23:34.0","2016-05-18 20:23:34.0",12
8686,"63","NomVoie9422420",,"#8487","Ville3","Pays1","2009-07-04 01:36:30.0","2009-07-04 01:36:30.0",12
11704,"92","NomVoie1949456",,"#1100","Ville6","Pays1","2006-11-02 14:35:54.0","2006-11-02 14:35:54.0",12
6137,"2","NomVoie3225579",,"#3560","Ville18","Pays3","2010-06-21 20:34:30.0","2010-06-21 20:34:30.0",12
9155,"19","NomVoie7533853",,"#8657","Ville8","Pays5","2002-11-01 22:07:50.0","2002-11-01 22:07:50.0",12
12173,"20","NomVoie3620136",,"#4431","Ville1","Pays3","2006-08-13 20:53:43.0","2006-08-13 20:53:43.0",12
9624,"73","NomVoie1546543",,"#7998","Ville2","Pays2","2018-11-04 16:19:39.0","2018-11-04 16:19:39.0",12
4057,"86","NomVoie1211588",,"#9102","Ville25","Pays1","2022-03-08 13:48:43.0","2022-03-08 13:48:43.0",12
7075,"59","NomVoie4419894",,"#3952","Ville3","Pays2","2015-04-26 14:02:38.0","2015-04-26 14:02:38.0",12
1508,"78","NomVoie3213457",,"#4387","Ville22","Pays1","2002-02-14 08:04:59.0","2002-02-14 08:04:59.0",12
10093,"60","NomVoie506259",,"#5510","Ville14","Pays3","2001-01-27 05:05:12.0","2001-01-27 05:05:12.0",12
4526,"53","NomVoie4123909",,"#7606","Ville8","Pays3","2014-08-22 20:02:46.0","2014-08-22 20:02:46.0",12
7544,"27","NomVoie8443449",,"#7490","Ville19","Pays2","2004-01-24 22:04:47.0","2004-01-24 22:04:47.0",12
1977,"38","NomVoie4141481",,"#3379","Ville1","Pays2","2010-01-06 12:04:37.0","2010-01-06 12:04:37.0",12
4995,"89","NomVoie8235270",,"#5849","Ville2","Pays4","2019-05-26 05:17:11.0","2019-05-26 05:17:11.0",12
2446,"51","NomVoie509628",,"#9028","Ville4","Pays1","2000-05-18 02:42:27.0","2000-05-18 02:42:27.0",12
5464,"68","NomVoie447478",,"#1471","Ville8","Pays2","2020-11-07 06:50:21.0","2020-11-07 06:50:21.0",12
2915,"27","NomVoie2726509",,"#4578","Ville1","Pays2","2002-06-03 20:37:07.0","2002-06-03 20:37:07.0",12
366,"85","NomVoie2912199",,"#8710","Ville5","Pays2","2020-10-27 04:08:08.0","2020-10-27 04:08:08.0",12
14518,"8","NomVoie9648087",,"#2393","Ville12","Pays2","2012-08-22 10:25:43.0","2012-08-22 10:25:43.0",12
11969,"6","NomVoie108469",,"#6438","Ville7","Pays1","2000-11-14 18:45:30.0","2000-11-14 18:45:30.0",12
12438,"84","NomVoie234986",,"#1755","Ville22","Pays2","2015-01-20 07:52:44.0","2015-01-20 07:52:44.0",12
9889,"2","NomVoie811201",,"#4974","Ville17","Pays1","2022-10-17 03:24:40.0","2022-10-17 03:24:40.0",12
12907,"90","NomVoie942477",,"#7521","Ville2","Pays3","2010-04-27 11:36:21.0","2010-04-27 11:36:21.0",12
7340,"39","NomVoie3533304",,"#6609","Ville21","Pays3","2014-07-04 21:50:07.0","2014-07-04 21:50:07.0",12
10358,"81","NomVoie6413081",,"#8169","Ville25","Pays1","2007-03-27 15:42:53.0","2007-03-27 15:42:53.0",12
13376,"36","NomVoie9615753",,"#7421","Ville18","Pays2","2013-08-15 16:21:21.0","2013-08-15 16:21:21.0",12
7809,"11","NomVoie21706",,"#8301","Ville12","Pays1","2021-04-18 18:59:42.0","2021-04-18 18:59:42.0",12
10827,"32","NomVoie526122",,"#7106","Ville10","Pays1","2014-09-13 11:55:47.0","2014-09-13 11:55:47.0",12
5260,"68","NomVoie8842284",,"#9867","Ville2","Pays1","2023-06-22 04:18:05.0","2023-06-22 04:18:05.0",12
8278,"25","NomVoie5312100",,"#1664","Ville12","Pays2","2006-08-19 06:50:25.0","2006-08-19 06:50:25.0",12
2711,"13","NomVoie9419485",,"#6771","Ville16","Pays1","2001-03-13 17:57:38.0","2001-03-13 17:57:38.0",12
5729,"43","NomVoie543646",,"#5553","Ville18","Pays2","2016-09-15 20:54:11.0","2016-09-15 20:54:11.0",12
162,"49","NomVoie122575",,"#5592","Ville12","Pays2","2023-02-13 16:43:56.0","2023-02-13 16:43:56.0",12
8747,"20","NomVoie923704",,"#8229","Ville21","Pays2","2002-11-02 04:05:53.0","2002-11-02 04:05:53.0",12
3180,"45","NomVoie7636799",,"#1829","Ville25","Pays4","2020-09-27 09:42:35.0","2020-09-27 09:42:35.0",12
6198,"37","NomVoie7029345",,"#6581","Ville22","Pays2","2000-03-06 09:29:38.0","2000-03-06 09:29:38.0",12
631,"26","NomVoie2723810",,"#5372","Ville16","Pays4","2013-03-27 10:31:58.0","2013-03-27 10:31:58.0",12
3649,"22","NomVoie391084",,"#2878","Ville12","Pays3","2006-10-21 04:46:51.0","2006-10-21 04:46:51.0",12
1100,"5","NomVoie6145618",,"#2009","Ville7","Pays2","2023-04-04 22:22:58.0","2023-04-04 22:22:58.0",12
4118,"12","NomVoie313077",,"#1364","Ville14","Pays1","2019-11-21 07:56:08.0","2019-11-21 07:56:08.0",12
1569,"81","NomVoie316976",,"#6976","Ville4","Pays3","2010-01-05 06:59:18.0","2010-01-05 06:59:18.0",12
13172,"88","NomVoie5410020",,"#1606","Ville11","Pays2","2001-01-25 04:19:36.0","2001-01-25 04:19:36.0",12
13641,"93","NomVoie2823607",,"#5042","Ville21","Pays1","2019-03-02 22:55:51.0","2019-03-02 22:55:51.0",12
11092,"49","NomVoie1833402",,"#3915","Ville20","Pays2","2018-10-08 15:38:54.0","2018-10-08 15:38:54.0",12
14110,"5","NomVoie336608",,"#8461","Ville17","Pays3","2023-11-15 22:01:30.0","2023-11-15 22:01:30.0",12
8543,"9","NomVoie8218738",,"#4751","Ville25","Pays1","2001-04-10 12:11:04.0","2001-04-10 12:11:04.0",12
11561,"43","NomVoie7445973",,"#7823","Ville1","Pays1","2008-09-19 18:08:02.0","2008-09-19 18:08:02.0",12
5994,"2","NomVoie5118020",,"#3838","Ville22","Pays1","2018-01-22 20:59:11.0","2018-01-22 20:59:11.0",12
14579,"79","NomVoie4549956",,"#6630","Ville20","Pays2","2010-05-01 06:09:15.0","2010-05-01 06:09:15.0",12
9012,"29","NomVoie5030653",,"#8136","Ville17","Pays1","2007-11-21 06:24:36.0","2007-11-21 06:24:36.0",12
12030,"0","NomVoie3712194",,"#9408","Ville16","Pays1","2001-11-11 09:49:19.0","2001-11-11 09:49:19.0",12
6463,"89","NomVoie7544413",,"#0250","Ville9","Pays3","2011-08-21 21:04:57.0","2011-08-21 21:04:57.0",12
9481,"56","NomVoie7643220",,"#0144","Ville3","Pays2","2003-05-14 14:30:04.0","2003-05-14 14:30:04.0",12
3914,"45","NomVoie477790",,"#9104","Ville14","Pays1","2001-11-11 05:08:09.0","2001-11-11 05:08:09.0",12
6932,"46","NomVoie012518",,"#8730","Ville20","Pays1","2003-08-10 21:32:31.0","2003-08-10 21:32:31.0",12
1365,"51","NomVoie813546",,"#1377","Ville9","Pays1","2015-05-20 03:13:03.0","2015-05-20 03:13:03.0",12
9950,"68","NomVoie452519",,"#9152","Ville10","Pays1","2008-07-20 10:01:08.0","2008-07-20 10:01:08.0",12
4383,"43","NomVoie8320036",,"#0008","Ville10","Pays2","2009-07-23 09:50:31.0","2009-07-23 09:50:31.0",12
7401,"37","NomVoie2637153",,"#6645","Ville13","Pays4","2016-10-27 03:27:01.0","2016-10-27 03:27:01.0",12
1834,"94","NomVoie1533537",,"#8586","Ville7","Pays1","2015-09-23 06:30:06.0","2015-09-23 06:30:06.0",12
4852,"26","NomVoie5332055",,"#0769","Ville8","Pays2","2017-08-16 13:11:06.0","2017-08-16 13:11:06.0",12
2303,"58","NomVoie503452",,"#5470","Ville8","Pays2","2001-03-02 05:46:30.0","2001-03-02 05:46:30.0",12
2772,"34","NomVoie3321919",,"#5878","Ville20","Pays2","2017-05-27 09:18:20.0","2017-05-27 09:18:20.0",12
223,"1","NomVoie965780",,"#1026","Ville22","Pays3","2017-09-08 04:25:57.0","2017-09-08 04:25:57.0",12
14375,"70","NomVoie3644558",,"#6822","Ville5","Pays2","1998-05-20 12:11:03.0","1998-05-20 12:11:03.0",12
